#{"t_start": 1755726833.5875497, "env_id": "None"}
r,l,t
818.877078,5000,10272.659911
818.877078,5000,10277.833653
818.877078,5000,10282.785139
2891.896413,5000,10315.809059
2891.896413,5000,10321.24964
2891.896413,5000,10326.143064
2891.896413,5000,10331.02304
2891.896413,5000,10335.873552
111631.34448,5000,10375.681301
111631.34448,5000,10382.126274
111631.34448,5000,10391.011036
111631.34448,5000,10398.244278
111631.34448,5000,10404.775185
78504.635647,5000,10450.852845
78504.635647,5000,10457.781584
78504.635647,5000,10463.793521
78504.635647,5000,10471.016133
78504.635647,5000,10477.215384
1434.723271,5000,10547.244266
1434.723271,5000,10561.985382
1434.723271,5000,10576.994263
1434.723271,5000,10585.195346
1434.723271,5000,10592.452405
1403.642624,5000,10638.943999
1403.642624,5000,10645.862401
1403.642624,5000,10652.860511
1403.642624,5000,10659.989969
1403.642624,5000,10666.746468
72340.493215,5000,10712.130667
72340.493215,5000,10717.375992
72340.493215,5000,10722.790295
72340.493215,5000,10728.531693
72340.493215,5000,10733.796385
2215.264844,5000,10767.030911
2215.264844,5000,10771.885965
2215.264844,5000,10776.784089
2215.264844,5000,10781.668581
2215.264844,5000,10787.215221
66155.946925,5000,10821.328637
66155.946925,5000,10826.519362
66155.946925,5000,10831.830405
66155.946925,5000,10838.058858
66155.946925,5000,10843.182853
56932.314791,5000,10876.597807
56932.314791,5000,10881.677443
56932.314791,5000,10886.937221
56932.314791,5000,10892.044969
56932.314791,5000,10897.00174
1092.941847,5000,10929.636523
1092.941847,5000,10934.544572
1092.941847,5000,10939.388894
1092.941847,5000,10944.316218
1092.941847,5000,10949.239885
108733.107434,5000,10979.961176
108733.107434,5000,10985.737343
108733.107434,5000,10990.98354
108733.107434,5000,10996.126691
108733.107434,5000,11001.468186
1583.617565,5000,11038.266732
1583.617565,5000,11043.273437
1583.617565,5000,11049.678028
1583.617565,5000,11054.613883
1583.617565,5000,11061.186433
924.400737,5000,11094.204297
924.400737,5000,11099.799874
924.400737,5000,11104.910069
924.400737,5000,11110.0176
924.400737,5000,11115.157377
1684.71743,5000,11152.51133
1684.71743,5000,11157.712986
1684.71743,5000,11162.96915
1684.71743,5000,11168.200121
1684.71743,5000,11173.388038
41637.265663,5000,11209.790283
41637.265663,5000,11214.974019
41637.265663,5000,11220.087853
41637.265663,5000,11225.252445
41637.265663,5000,11230.410967
1652.972294,5000,11264.894779
1652.972294,5000,11270.316706
